Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"9584946.0, 9569876.0, 9568653.0, 9589248.0, 9568105.0, 9565822.0, 9569271.0, 9573690.0, 9583533.0, 9573754.0",9574689.8,7798.620516475975,4,0,7,,,,splines,nic-cage
,,,"7229767.0, 7258852.0, 7279359.0, 7241355.0, 7254523.0, 7245760.0, 7250236.0, 7240640.0, 7241090.0, 7248184.0",7248976.6,12738.649867234753,8,0,7,,,,splines,nic-cage
,,,"7629653.0, 7625971.0, 7645292.0, 7639503.0, 7657769.0, 7656277.0, 7653816.0, 7595789.0, 7638114.0, 7666499.0",7640868.3,19381.724737752316,12,0,8,,,,splines,nic-cage
,,,"7587386.0, 7681835.0, 7939621.0, 7678889.0, 7593170.0, 7586701.0, 7606175.0, 7634403.0, 7605522.0, 7639663.0",7655336.5,100423.87726457289,16,0,8,,,,splines,nic-cage
,,,"11012578.0, 10999897.0, 11001093.0, 11012708.0, 10998141.0, 10998778.0, 11003863.0, 11015557.0, 11005851.0, 10997488.0",11004595.4,6420.000953270957,4,0,8,,,,splines,nic-cage
,,,"6185228.0, 6187433.0, 6210601.0, 6209031.0, 6181374.0, 6189313.0, 6174166.0, 6171210.0, 6195887.0, 6203286.0",6190752.9,13038.81557849485,8,0,6,,,,splines,pattern1
,,,"6883463.0, 6894950.0, 6625127.0, 6716446.0, 6674745.0, 6815943.0, 6831119.0, 6665550.0, 6711591.0, 6770706.0",6758964.0,89647.2852940902,12,0,7,,,,splines,pattern1
,,,"6571954.0, 6546773.0, 6568372.0, 6563435.0, 6583197.0, 6723265.0, 6774783.0, 6739193.0, 6765486.0, 6750342.0",6658680.0,93226.7771544206,16,0,7,,,,splines,pattern1
,,,"9589327.0, 9579241.0, 9580167.0, 9590567.0, 9578209.0, 9579426.0, 9579850.0, 9582236.0, 9582103.0, 9579267.0",9582039.3,4137.513674901873,4,0,7,,,,splines,pattern1
,,,"7247239.0, 7250247.0, 7262583.0, 7258523.0, 7249415.0, 7251511.0, 7266979.0, 7248646.0, 7249376.0, 7270206.0",7255472.5,8003.698523182891,8,0,7,,,,splines,pattern1
,,,"7805481.0, 7928879.0, 8127178.0, 8024526.0, 7874543.0, 7805810.0, 7805172.0, 7943756.0, 7855321.0, 8067404.0",7923807.0,110301.28657363883,12,0,8,,,,splines,pattern1
,,,"8130591.0, 7715183.0, 7589125.0, 7624536.0, 7612525.0, 7600295.0, 7604989.0, 7638253.0, 7629216.0, 7635868.0",7678058.1,154391.96118804245,16,0,8,,,,splines,pattern1
,,,"10949861.0, 10931769.0, 10932834.0, 10949895.0, 10929556.0, 10936159.0, 10924251.0, 10926244.0, 10928196.0, 10923061.0",10933182.6,9147.86820193645,4,0,8,,,,splines,pattern1
,,,"6212280.0, 6199124.0, 6229603.0, 6224707.0, 6207259.0, 6232459.0, 6210386.0, 6224921.0, 6253993.0, 6235544.0",6223027.6,15327.950288280555,8,0,6,,,,splines,pattern2
,,,"6590408.0, 6574851.0, 6646976.0, 6607025.0, 6950154.0, 6788091.0, 6807444.0, 6795865.0, 6887944.0, 6830691.0",6747944.9,126339.17978240162,12,0,7,,,,splines,pattern2
,,,"6576232.0, 6661415.0, 6577990.0, 6534342.0, 6509463.0, 6518471.0, 6508014.0, 6599849.0, 6575739.0, 6499337.0",6556085.2,48861.07389282393,16,0,7,,,,splines,pattern2
,,,"9590307.0, 9579974.0, 9577504.0, 9591065.0, 9574767.0, 9577245.0, 9577031.0, 9585296.0, 9575322.0, 9574904.0",9580341.5,5944.936791085335,4,0,7,,,,splines,pattern2
,,,"7245056.0, 7230731.0, 7238603.0, 7238445.0, 7234301.0, 7238375.0, 7237847.0, 7242305.0, 7251258.0, 7236967.0",7239388.8,5414.063073145712,8,0,7,,,,splines,pattern2
,,,"7650390.0, 7804372.0, 7642687.0, 7642680.0, 7647691.0, 7731699.0, 7653765.0, 7644428.0, 7650152.0, 7643601.0",7671146.5,51217.60930236787,12,0,8,,,,splines,pattern2
,,,"7613257.0, 7673153.0, 7600621.0, 7609426.0, 7608497.0, 7631331.0, 7627047.0, 7632061.0, 7666285.0, 7611139.0",7627281.7,23461.649712030056,16,0,8,,,,splines,pattern2
,,,"10975838.0, 10937711.0, 10964923.0, 10981238.0, 10939691.0, 10947330.0, 10937789.0, 10944998.0, 10955731.0, 10935407.0",10952065.6,15836.022923701517,4,0,8,,,,splines,pattern2
,,,"8329149.0, 8332091.0, 8339981.0, 8329740.0, 8331310.0, 8364083.0, 8331969.0, 8321535.0, 8385745.0, 8388290.0",8345389.3,23410.698832157916,8,0,8,,,,splines,pattern2
,,,"4267001.0, 4270143.0, 4420144.0, 4322916.0, 4289490.0, 4292103.0, 4264796.0, 4319904.0, 4271690.0, 4253489.0",4297167.6,46511.198765888636,8,0,4,,,,splines,pattern1
,,,"4691455.0, 4690964.0, 4690154.0, 4691792.0, 4689218.0, 4691417.0, 4688398.0, 4691522.0, 4689461.0, 4713709.0",4692809.0,7051.850778341811,12,0,5,,,,splines,pattern1
,,,"4786282.0, 4988827.0, 4848111.0, 4863328.0, 4883488.0, 4775509.0, 4766528.0, 4802808.0, 4834505.0, 4764853.0",4831423.9,65892.73856268231,16,0,5,,,,splines,pattern1
