Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
"839500.0, 839124.0, 839200.0, 838793.0, 838163.0, 837861.0, 838412.0, 839265.0, 839234.0, 839921.0",838947.3,603.1009948590699,,,,-1,0,3,,,,bilineal,mountain
"1295040.0, 1296277.0, 1295990.0, 1296664.0, 1295910.0, 1295071.0, 1305253.0, 1296095.0, 1300657.0, 1295797.0",1297275.4,3056.1398266440624,,,,-1,0,4,,,,bilineal,mountain
"1888952.0, 1886406.0, 1886130.0, 1886329.0, 1940157.0, 1885115.0, 1886261.0, 1885905.0, 1888896.0, 1891709.0",1892586.0,15968.941223512598,,,,-1,0,5,,,,bilineal,mountain
"2773445.0, 2774490.0, 2772897.0, 2773547.0, 2773530.0, 2773121.0, 2776424.0, 2771905.0, 2776073.0, 2781752.0",2774718.4,2691.8048294777986,,,,-1,0,6,,,,bilineal,mountain
"4247325.0, 4043134.0, 4022891.0, 3982774.0, 3918206.0, 3931065.0, 3922817.0, 3936639.0, 3972741.0, 4293082.0",4027067.4,128288.24006369407,,,,-1,0,7,,,,bilineal,mountain
"6071584.0, 6153681.0, 5831529.0, 5888192.0, 5808474.0, 5556406.0, 5608978.0, 5796687.0, 5601506.0, 5731662.0",5804869.9,186376.78034210697,,,,-1,0,8,,,,bilineal,mountain
"188884.0, 189407.0, 189542.0, 188844.0, 189357.0, 189576.0, 189059.0, 189677.0, 189139.0, 189133.0",189261.8,277.46307862488663,,,,-1,0,1,,,,bilineal,nic-cage
"435674.0, 436160.0, 435966.0, 436740.0, 437902.0, 435714.0, 435959.0, 435428.0, 435349.0, 434443.0",435933.5,866.7597417969988,,,,-1,0,2,,,,bilineal,nic-cage
"838657.0, 837689.0, 838109.0, 838531.0, 838387.0, 837553.0, 838105.0, 837567.0, 838022.0, 839687.0",838230.7,607.003467864888,,,,-1,0,3,,,,bilineal,nic-cage
"1296468.0, 1295544.0, 1295440.0, 1295582.0, 1296928.0, 1297326.0, 1296138.0, 1296953.0, 1297763.0, 1294741.0",1296288.3,912.3638583372316,,,,-1,0,4,,,,bilineal,nic-cage
"1887395.0, 1886767.0, 1887337.0, 1853883.0, 1887268.0, 1886002.0, 1886273.0, 1886540.0, 1888227.0, 1890320.0",1884001.2,10106.767255655983,,,,-1,0,5,,,,bilineal,nic-cage
"2800316.0, 2783118.0, 2767464.0, 2793399.0, 2791193.0, 2784195.0, 2786978.0, 2784605.0, 2785939.0, 2831614.0",2790882.1,15770.230730398336,,,,-1,0,6,,,,bilineal,nic-cage
"4100691.0, 4046644.0, 4011664.0, 4056252.0, 4090691.0, 4060776.0, 4069101.0, 4044516.0, 4126650.0, 3785415.0",4039240.0,89988.35894492132,,,,-1,0,7,,,,bilineal,nic-cage
"7277961.0, 7310761.0, 7231848.0, 7304568.0, 7336137.0, 7292083.0, 7275046.0, 7286933.0, 7358592.0, 7582073.0",7325600.2,91582.52345595202,,,,-1,0,9,,,,bilineal,nic-cage
"189713.0, 189590.0, 189517.0, 189440.0, 189706.0, 189553.0, 189944.0, 190051.0, 189681.0, 189636.0",189683.1,178.70111919067548,,,,-1,0,1,,,,bilineal,pattern1
"435413.0, 435673.0, 435899.0, 435846.0, 435452.0, 435781.0, 435736.0, 436136.0, 435311.0, 435118.0",435636.5,292.0949331980957,,,,-1,0,2,,,,bilineal,pattern1
"838701.0, 838818.0, 839321.0, 840256.0, 839691.0, 839270.0, 840049.0, 839823.0, 839566.0, 841470.0",839696.5,755.0726124022775,,,,-1,0,3,,,,bilineal,pattern1
"1294705.0, 1296460.0, 1284980.0, 1296102.0, 1296194.0, 1295574.0, 1295930.0, 1306254.0, 1295867.0, 1296945.0",1295901.1,4790.83352768597,,,,-1,0,4,,,,bilineal,pattern1
"1898343.0, 1895192.0, 1895852.0, 1894173.0, 1898115.0, 1894106.0, 1894536.0, 1893492.0, 1895863.0, 1895260.0",1895493.2,1549.0020529360186,,,,-1,0,5,,,,bilineal,pattern1
"2823980.0, 2819490.0, 2824005.0, 2812677.0, 2817150.0, 2803143.0, 2827390.0, 2815487.0, 2826026.0, 2814372.0",2818372.0,7032.1425753464355,,,,-1,0,6,,,,bilineal,pattern1
"5442638.0, 5471551.0, 5437894.0, 5438513.0, 5416155.0, 5444450.0, 5415877.0, 5418419.0, 5438530.0, 5453865.0",5437789.2,16705.20584608283,,,,-1,0,8,,,,bilineal,pattern1
"7304683.0, 7359236.0, 7298456.0, 7296437.0, 7556905.0, 7339679.0, 7379930.0, 7327460.0, 7380085.0, 7360875.0",7360374.6,72063.736549252,,,,-1,0,9,,,,bilineal,pattern1
"189337.0, 189246.0, 189025.0, 188845.0, 189068.0, 189189.0, 189049.0, 188724.0, 189085.0, 189682.0",189125.0,251.745109187845,,,,-1,0,1,,,,bilineal,pattern2
"436087.0, 435409.0, 436173.0, 435422.0, 435287.0, 435251.0, 435918.0, 435470.0, 435472.0, 435456.0",435594.5,317.53338407165944,,,,-1,0,2,,,,bilineal,pattern2
"838062.0, 837940.0, 837944.0, 837570.0, 838058.0, 837899.0, 837802.0, 837656.0, 837637.0, 840688.0",838125.6,869.824373077692,,,,-1,0,3,,,,bilineal,pattern2
"1295988.0, 1296819.0, 1295728.0, 1296087.0, 1299578.0, 1296531.0, 1297077.0, 1295490.0, 1298163.0, 1296622.0",1296808.3,1174.244271861694,,,,-1,0,4,,,,bilineal,pattern2
"1889666.0, 1888603.0, 1891462.0, 1888800.0, 1890916.0, 1889003.0, 1891079.0, 1889376.0, 1899792.0, 1899576.0",1891827.3,4040.050471219388,,,,-1,0,5,,,,bilineal,pattern2
"2863877.0, 2860229.0, 2826950.0, 2848175.0, 2846232.0, 2840774.0, 2843228.0, 2852237.0, 2856396.0, 2784143.0",2842224.1,21806.936522354532,,,,-1,0,6,,,,bilineal,pattern2
"3960452.0, 3982250.0, 3971074.0, 3952725.0, 3958753.0, 3905043.0, 3929580.0, 3944651.0, 3913168.0, 4445844.0",3996354.0,151616.33037506219,,,,-1,0,7,,,,bilineal,pattern2
"5745487.0, 5820306.0, 5809118.0, 5839087.0, 5795029.0, 5837721.0, 5784733.0, 5787872.0, 5795229.0, 5957531.0",5817211.3,53571.612424958796,,,,-1,0,8,,,,bilineal,pattern2
"7457129.0, 7372495.0, 7422289.0, 7450013.0, 7424295.0, 7454297.0, 7411297.0, 7370978.0, 7452779.0, 7647340.0",7446291.2,73525.91634899902,,,,-1,0,9,,,,bilineal,pattern2
"7174332.0, 7290960.0, 7592235.0, 7776047.0, 7841082.0, 7840189.0, 7693747.0, 7363061.0, 7843904.0, 7929968.0",7634552.5,253952.94349751098,,,,-1,0,9,,,,bilineal,mountain
"5416078.0, 5420285.0, 5509404.0, 5424689.0, 5724653.0, 5652000.0, 5785555.0, 5811896.0, 5427517.0, 5550810.0",5572288.7,150708.39008101044,,,,-1,0,8,,,,bilineal,nic-cage
"4284531.0, 4319918.0, 4294105.0, 4289931.0, 4334181.0, 4331991.0, 4294823.0, 4300541.0, 4329909.0, 4009469.0",4278939.9,91574.3105051302,,,,-1,0,7,,,,bilineal,pattern1
,,,,,,-1,0,1,"378587.0, 378695.0, 379286.0, 378536.0, 379161.0, 378546.0, 379439.0, 378755.0, 378366.0, 379476.0",378884.7,392.5633834172515,knn,mountain
,,,,,,-1,0,2,"938361.0, 936415.0, 937215.0, 937727.0, 936750.0, 936543.0, 937694.0, 937852.0, 937656.0, 936797.0",937301.0,617.5535604301865,knn,mountain
,,,,,,-1,0,3,"1837893.0, 1839265.0, 1839711.0, 1839329.0, 1838353.0, 1838567.0, 1838875.0, 1838304.0, 1839929.0, 1833288.0",1838351.4,1797.185032210095,knn,mountain
,,,,,,-1,0,4,"2899747.0, 2899244.0, 2906189.0, 2898744.0, 2900052.0, 2898112.0, 2899551.0, 2897006.0, 2899035.0, 2902704.0",2900038.4,2479.4713630126885,knn,mountain
,,,,,,-1,0,5,"4305350.0, 4303227.0, 4302525.0, 4303466.0, 4302736.0, 4304917.0, 4302460.0, 4304317.0, 4305116.0, 4303359.0",4303747.3,1039.6753387476303,knn,mountain
,,,,,,-1,0,6,"5855909.0, 5854898.0, 5857020.0, 5854759.0, 5853520.0, 5857598.0, 5852177.0, 5856554.0, 5853180.0, 5854416.0",5855003.1,1671.9083377984573,knn,mountain
,,,,,,-1,0,7,"7747462.0, 7751895.0, 7750721.0, 7750369.0, 7750471.0, 7750596.0, 7753159.0, 7749103.0, 7753142.0, 7764084.0",7752100.2,4314.768100373414,knn,mountain
,,,,,,-1,0,8,"10293970.0, 10290786.0, 10286888.0, 10286575.0, 10287247.0, 10290892.0, 10287942.0, 10285256.0, 10289109.0, 10293289.0",10289195.4,2793.6898253027302,knn,mountain
,,,,,,-1,0,1,"378151.0, 377982.0, 378335.0, 378169.0, 378882.0, 378193.0, 378106.0, 378361.0, 378402.0, 378652.0",378323.3,257.3169446422057,knn,nic-cage
,,,,,,-1,0,2,"941241.0, 941603.0, 941966.0, 941662.0, 941205.0, 941481.0, 941594.0, 941895.0, 941750.0, 941813.0",941621.0,242.362538359376,knn,nic-cage
,,,,,,-1,0,3,"1839249.0, 1840478.0, 1838333.0, 1838238.0, 1839096.0, 1838447.0, 1838277.0, 1839324.0, 1838560.0, 1838374.0",1838837.6,673.534438614686,knn,nic-cage
,,,,,,-1,0,4,"2881231.0, 2885280.0, 2883877.0, 2887897.0, 2880440.0, 2884569.0, 2885495.0, 2882009.0, 2885176.0, 2883542.0",2883951.6,2127.7518746320025,knn,nic-cage
,,,,,,-1,0,5,"4297180.0, 4296045.0, 4294687.0, 4297124.0, 4294477.0, 4294611.0, 4294545.0, 4295703.0, 4294434.0, 4294059.0",4295286.5,1093.8404134059044,knn,nic-cage
,,,,,,-1,0,6,"5853066.0, 5839788.0, 5840947.0, 5843001.0, 5841097.0, 5843532.0, 5841147.0, 5841036.0, 5839101.0, 5839413.0",5842212.8,3859.05920659427,knn,nic-cage
,,,,,,-1,0,7,"7752744.0, 7751368.0, 7755241.0, 7753749.0, 7756449.0, 7750970.0, 7753510.0, 7754793.0, 7751715.0, 7762423.0",7754296.2,3185.0636037605277,knn,nic-cage
,,,,,,-1,0,9,"12828729.0, 12829748.0, 12829291.0, 12827245.0, 12826189.0, 12824060.0, 12842305.0, 12823555.0, 12846850.0, 12823669.0",12830164.1,7591.210673535546,knn,nic-cage
,,,,,,-1,0,1,"378260.0, 378140.0, 379345.0, 378456.0, 379042.0, 378442.0, 378171.0, 379209.0, 378578.0, 379181.0",378682.4,441.40212958253835,knn,pattern1
,,,,,,-1,0,2,"936703.0, 937605.0, 937103.0, 937004.0, 936992.0, 936671.0, 936838.0, 936852.0, 937804.0, 937373.0",937094.5,362.98133560832025,knn,pattern1
,,,,,,-1,0,3,"1838465.0, 1839698.0, 1838463.0, 1838619.0, 1839378.0, 1839192.0, 1839462.0, 1838365.0, 1840770.0, 1835030.0",1838744.2,1422.773334020567,knn,pattern1
,,,,,,-1,0,4,"2883537.0, 2885430.0, 2887843.0, 2886482.0, 2884999.0, 2884623.0, 2885991.0, 2886684.0, 2885661.0, 2886421.0",2885767.1,1146.1259485763333,knn,pattern1
,,,,,,-1,0,5,"4309110.0, 4308160.0, 4310460.0, 4307576.0, 4308636.0, 4310379.0, 4310386.0, 4308231.0, 4307740.0, 4308622.0",4308930.0,1053.8052002149163,knn,pattern1
,,,,,,-1,0,6,"5855804.0, 5857592.0, 5857448.0, 5858258.0, 5856655.0, 5857177.0, 5857717.0, 5855342.0, 5858535.0, 5855854.0",5857038.2,1031.1403202280474,knn,pattern1
,,,,,,-1,0,8,"10282040.0, 10286563.0, 10280094.0, 10279697.0, 10283450.0, 10278441.0, 10278919.0, 10281251.0, 10279635.0, 10282947.0",10281303.7,2371.148542373506,knn,pattern1
,,,,,,-1,0,9,"12849489.0, 12853968.0, 12852162.0, 12851822.0, 12851626.0, 12851283.0, 12851744.0, 12852746.0, 12851262.0, 12851384.0",12851748.6,1086.4699903816947,knn,pattern1
,,,,,,-1,0,1,"377960.0, 378048.0, 378875.0, 378126.0, 378565.0, 378141.0, 377885.0, 378015.0, 378214.0, 379152.0",378298.1,402.7685315413805,knn,pattern2
,,,,,,-1,0,2,"937280.0, 936984.0, 937568.0, 936939.0, 937138.0, 937309.0, 937386.0, 937257.0, 937142.0, 938115.0",937311.8,320.2760684159839,knn,pattern2
,,,,,,-1,0,3,"1838611.0, 1839388.0, 1839656.0, 1839955.0, 1842735.0, 1839543.0, 1840330.0, 1840023.0, 1839052.0, 1838090.0",1839738.3,1186.7882751358813,knn,pattern2
,,,,,,-1,0,4,"2890482.0, 2891217.0, 2889251.0, 2891942.0, 2889277.0, 2890917.0, 2889059.0, 2891158.0, 2888594.0, 2894704.0",2890660.1,1714.146227718044,knn,pattern2
,,,,,,-1,0,5,"4307809.0, 4308570.0, 4307421.0, 4309081.0, 4308451.0, 4308692.0, 4310267.0, 4310120.0, 4307426.0, 4310714.0",4308855.1,1120.9125255790482,knn,pattern2
,,,,,,-1,0,6,"5857406.0, 5856511.0, 5854991.0, 5857408.0, 5857226.0, 5857420.0, 5856053.0, 5859401.0, 5856563.0, 5857640.0",5857061.9,1098.082005134407,knn,pattern2
,,,,,,-1,0,7,"7808126.0, 7805841.0, 7805924.0, 7807762.0, 7808815.0, 7807252.0, 7814423.0, 7805349.0, 7809574.0, 7780247.0",7805331.3,8718.009658746656,knn,pattern2
,,,,,,-1,0,8,"10273419.0, 10272983.0, 10274313.0, 10278300.0, 10275993.0, 10277470.0, 10276352.0, 10283023.0, 10279732.0, 10277101.0",10276868.6,2882.751574451049,knn,pattern2
