Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"23348.0, 26980.0, 23942.0, 26307.0, 24272.0, 34144.0, 24895.0, 24324.0, 29005.0, 30230.0",26744.7,3271.71181647,4,384.217038451,4,,,,splines,paisaje_2
,,,"39637.0, 46670.0, 40336.0, 37719.0, 35161.0, 38878.0, 50761.0, 43945.0, 42375.0, 39049.0",41453.1,4374.96865017,4,2557.85623224,3,,,,splines,geometrica_2
,,,"87412.0, 79494.0, 107490.0, 93448.0, 100616.0, 102153.0, 77039.0, 137127.0, 145338.0, 133652.0",106376.9,23173.1782691,4,164.805604443,1,,,,splines,paisaje_2
,,,"48686.0, 74523.0, 46108.0, 50713.0, 55922.0, 52021.0, 46729.0, 43969.0, 47187.0, 64311.0",53016.9,9092.23800227,8,19.3832501042,1,,,,splines,paisaje_1
,,,"16652.0, 14163.0, 29895.0, 18358.0, 20121.0, 20719.0, 19640.0, 22417.0, 13388.0, 17104.0",19245.7,4458.76247517,4,867.487552938,9,,,,splines,paisaje_2
,,,"75769.0, 65330.0, 72997.0, 73592.0, 60469.0, 61391.0, 58968.0, 65739.0, 73500.0, 71377.0",67913.2,5936.24045672,101,80.1604281068,3,,,,splines,paisaje_1
,,,"411179.0, 427181.0, 401468.0, 465077.0, 401240.0, 390995.0, 469530.0, 401053.0, 483875.0, 550451.0",440204.9,48502.8703016,201,559.699771768,1,,,,splines,geometrica_2
,,,"16445.0, 18956.0, 19946.0, 20937.0, 18578.0, 27242.0, 23145.0, 31058.0, 30288.0, 16719.0",22331.4,5133.23999439,4,42.2841711183,7,,,,splines,rostro_1
,,,"52830.0, 78388.0, 55525.0, 53898.0, 60313.0, 70692.0, 112428.0, 90969.0, 176985.0, 66254.0",81828.2,36371.5246307,81,112.92887482,4,,,,splines,paisaje_1
,,,"26000.0, 22948.0, 22520.0, 23295.0, 17965.0, 22256.0, 14675.0, 14591.0, 17151.0, 17423.0",19882.4,3786.30728283,4,4978.14460109,7,,,,splines,geometrica_1
,,,"14205.0, 10824.0, 12223.0, 12893.0, 16842.0, 21564.0, 25173.0, 14087.0, 11061.0, 12986.0",15185.8,4474.94622984,8,872.396315943,9,,,,splines,paisaje_2
,,,"29532.0, 27285.0, 42963.0, 60825.0, 32671.0, 27018.0, 25086.0, 27374.0, 39642.0, 30974.0",34337.0,10386.0542556,4,60.1593149296,4,,,,splines,rostro_2
,,,"42115.0, 64438.0, 23278.0, 23185.0, 31843.0, 32117.0, 31189.0, 45882.0, 37145.0, 42763.0",37395.5,11631.5070068,4,1427.47203065,4,,,,splines,geometrica_1
,,,"22090.0, 27163.0, 21128.0, 24118.0, 17992.0, 18540.0, 18097.0, 29048.0, 23075.0, 29711.0",23096.2,4164.76836811,8,392.480426117,4,,,,splines,paisaje_2
,,,"47043.0, 46157.0, 46501.0, 53595.0, 45701.0, 61030.0, 56994.0, 81481.0, 107858.0, 94654.0",64101.4,21405.1962906,8,91.155795051,1,,,,splines,geometrica_1
"831.0, 957.0, 1179.0, 929.0, 914.0, 907.0, 1278.0, 1842.0, 836.0, 976.0",1064.9,292.427238813,,,,-1,763.159986567,7,,,,bilineal,paisaje_2
"1836.0, 2041.0, 1312.0, 1035.0, 1269.0, 1453.0, 1857.0, 1025.0, 1211.0, 1399.0",1443.8,335.846333909,,,,-1,39.5128699448,3,,,,bilineal,rostro_2
